date,time,DOY,TimeStamp,CH4
4/15/2017,18:00,105.749,4/15/2017 18:00,NaN
4/15/2017,18:30,105.77,4/15/2017 18:30,NaN
4/15/2017,19:00,105.791,4/15/2017 19:00,NaN
4/15/2017,19:30,105.812,4/15/2017 19:30,7.743231408
4/15/2017,20:00,105.833,4/15/2017 20:00,16.65089063
4/15/2017,20:30,105.854,4/15/2017 20:30,11.45276628
4/15/2017,21:00,105.874,4/15/2017 21:00,65.15811801
4/15/2017,21:30,105.895,4/15/2017 21:30,11.78176423
4/15/2017,22:00,105.916,4/15/2017 22:00,11.06739146
4/15/2017,22:30,105.937,4/15/2017 22:30,17.64408512
4/15/2017,23:00,105.958,4/15/2017 23:00,-2.853360171
4/15/2017,23:30,105.979,4/15/2017 23:30,5.680529518
4/16/2017,0:00,106,4/16/2017 0:00,0.078213072
4/16/2017,0:30,106.02,4/16/2017 0:30,12.60492026
4/16/2017,1:00,106.041,4/16/2017 1:00,1.999551212
4/16/2017,1:30,106.062,4/16/2017 1:30,-3.703351956
4/16/2017,2:00,106.083,4/16/2017 2:00,10.87340728
4/16/2017,2:30,106.104,4/16/2017 2:30,25.1623597
4/16/2017,3:00,106.124,4/16/2017 3:00,17.58258999
4/16/2017,3:30,106.145,4/16/2017 3:30,8.01390198
4/16/2017,4:00,106.166,4/16/2017 4:00,5.438269067
4/16/2017,4:30,106.187,4/16/2017 4:30,7.099855361
4/16/2017,5:00,106.208,4/16/2017 5:00,22.31504688
4/16/2017,5:30,106.229,4/16/2017 5:30,1.85181587
4/16/2017,6:00,106.249,4/16/2017 6:00,NaN
4/16/2017,6:30,106.27,4/16/2017 6:30,10.98016073
4/16/2017,7:00,106.291,4/16/2017 7:00,23.28235132
4/16/2017,7:30,106.312,4/16/2017 7:30,27.03537232
4/16/2017,8:00,106.333,4/16/2017 8:00,12.12025456
4/16/2017,8:30,106.354,4/16/2017 8:30,NaN
4/16/2017,9:00,106.374,4/16/2017 9:00,37.82027551
4/16/2017,9:30,106.395,4/16/2017 9:30,4.394300898
4/16/2017,10:00,106.416,4/16/2017 10:00,13.25833925
4/16/2017,10:30,106.437,4/16/2017 10:30,20.64615639
4/16/2017,11:00,106.458,4/16/2017 11:00,23.63338629
4/16/2017,11:30,106.479,4/16/2017 11:30,NaN
4/16/2017,12:00,106.499,4/16/2017 12:00,48.77710892
4/16/2017,12:30,106.52,4/16/2017 12:30,63.04388749
4/16/2017,13:00,106.541,4/16/2017 13:00,17.15394388
4/16/2017,13:30,106.562,4/16/2017 13:30,60.20909489
4/16/2017,14:00,106.583,4/16/2017 14:00,NaN
4/16/2017,14:30,106.604,4/16/2017 14:30,NaN
4/16/2017,15:00,106.624,4/16/2017 15:00,NaN
4/16/2017,15:30,106.645,4/16/2017 15:30,NaN
4/16/2017,16:00,106.666,4/16/2017 16:00,NaN
4/16/2017,16:30,106.687,4/16/2017 16:30,NaN
4/16/2017,17:00,106.708,4/16/2017 17:00,NaN
4/16/2017,17:30,106.729,4/16/2017 17:30,NaN
4/16/2017,18:00,106.749,4/16/2017 18:00,NaN
4/16/2017,18:30,106.77,4/16/2017 18:30,NaN
4/16/2017,19:00,106.791,4/16/2017 19:00,NaN
